question,answer
托儿所、老年人、残疾人专用住宅的居室要求获得冬至日满窗日照不少于多少h？,3.0h。
中小学南向的普通教室冬至日底层满窗日照时间不应小于多少h？,2.0h。
医院、疗养院至少有多少以上的病房和疗养室，应能获得冬至日不少于2h的日照时间?,半数以上。
民用建筑基地地面坡度不应小于多少？,0.2%。
关于关于建筑物地下室最低处的净高有什么要求？,不小于 2m。
建筑物内公共卫生间不能布置在哪些房间的上层？,不允许布置在：配电室的直接上层；在餐厅的直接上层；在食品贮存室的直接上层。
按照《民用建筑设计通则》的规定，厨房的通风开口有效面积不应低于多少？,不应低于该房间地板面积的1/10，并不得小于0.60㎡。
根据现行《人民防空地下室设计规范》的规定，防空地下室系指在房屋中室内地平面低于室外地平面的高度？,超过该房间净高1/2的地下室。
人民防空地下室的防毒通道是指什么？,防护密闭门和密闭门之间所构成的，有通风和超压排风的空间。
防空地下室与甲类、乙类易燃易爆生产厂房、库房的距离及与有害液体、重毒气体的贮罐距离为？,甲乙类50m，有毒有害液体气体100m。
与防空地下室无关的管道，是否不得穿过人防围护结构？,不宜穿越。
穿过人防围护结构的管道，是否均采取防护密闭措施？,是。
办公建筑几层以上应设电梯？,5层及5层以上。
高层办公楼中，当其高度达到多少米时，电梯应采用分区或分层服务方式?,100m。
办公建筑电梯最少设置数量取决于什么？,建筑面积。
二类办公建筑办公室的室内净高及走道净高分别不得低于？,2.60m、2.20m。
幼儿园有关楼梯的设计楼梯栏杆垂直线饰面间的净距不应大于多少？,0.11m。
幼儿园有关楼梯的设计对踏步高度和宽度的规定为？,楼梯踏步的高度官为0.13m，宽度宜为0.26m。
一般情况下，小学的服务半径应为？,不宜大于 500m。
教学楼设计中，开窗外墙与最近铁轨的距离要求限值是多少？,不应小于 300m。
教学楼的教室靠外廊一侧墙上应设窗，但距地面多少高度范围内不应影响教室使用和通行安全?,不应低于2m。
以下中小学校化学实验室的建筑安全排气设置如何布置？,化学实验室的外墙至少应设置2个机械排风扇，排风扇下沿应在距楼地面以上0.10~0.15m 高度处。
某4层病房楼，应设几台电梯？,应设2台电梯。
医院住院病房护士站到最远病房门口的距离不宜超过多少m？,30m。
商店建筑营业厅的出入口，其安全门的净宽度不应小于多少？,1.40m。
餐饮业的厨房和饮食制作间，只设一台垂直运输的食梯，生、熟不应同同时运送是否合规？,不合规。
宿舍居室的层高在采用单层床和双层床时，符合要求的层高是？,2.8m；3.6m。
按照现行《城市公共厕所设计标准》的规定，独立式公共厕所按建筑类别应分为哪几类？,一类、二类和三类。
在哪些区域需要设置一类公厕？,设置区域类别商业区、重要公共设施、重要交通客运设施，公共绿地及其他环境要求高的区域。
城市公共厕所中，男女厕位分别超过多少时宜设双出入口?,20个。
哪类公厕的洗手间男女可公用？,二类和三类公共厕所。
按全国建筑热工设计分区图的划分，吐鲁番、西宁、呼和浩特、沈阳中，哪座城市位于寒冷地区?,吐鲁番。
设带铝箔的封闭空间层且为单面铝箔空间层时，铝宜设在温度较高还是较低的一面？,较高的一面。
《公共建筑节能设计标准》要求在保证相同的室内环境参数条件下，与未采取节能措施相比，全年采暖、通风、空气调节和照明的总能耗应减少多少？,70%。
《公共建筑节能设计标准》中，参照建筑是指？,对围护结构热工性能进行权衡判断时，作为计算满足标准要求的全年采暖和空气调节能耗用的基准建筑。
依据《公共建筑节能设计标准》，我国分为哪几个区？,严寒地区、寒冷地区、夏热冬暖地区、夏热冬冷地区、温和地区。共5个区。
.甲类公共建筑（除严寒地区）窗墙比应符合下列哪项要求?,每个朝向都不宜大于0.7。
寒冷地区甲类公共建筑要控制传热系数的部位除外墙、屋面、外窗外还应包括哪个部分？,底面接触室外空气架空或外挑楼板 。
寒冷地区甲类公共建筑外窗的传热系数限值与何者有关?,与窗墙面积比和体形系数有关。
根据节能要求，甲类公共建筑应设开启窗扇，其有效通风换气面积宜为多少？,≥外墙面积的 10%。
寒冷地区建筑层数为12层的居住建筑体型系数宜控制在哪个范围？,0.3及以下。
建筑物体型系数是指？,建筑外表面积/建筑内包体积。
绿色建筑评价指标体系中，下列不属于指标选项的是：（A）控制项（B）评分项（C）创新项（D）加分项,（C）创新项。
公共建筑周围人行区中不影响室外活动舒适性的风速为？,5m/s以下。
住建部推行“土建与装修工程一体化设计施工”，即“一次装修到位”，其主要目的是？,节约材料与资源，避免二次装修的浪费。
除平坡出入口外，在门完全开启的状态下，建筑物无障碍出入口的平台的净深度不应小于多少m？,1.50m。
无障碍设计中，只设坡道的建筑入口，坡道最大坡度为？,1：20。
通过一辆轮椅和一个行人通行的走道净宽不宜小于多少m？,1.50m。
通过一辆轮椅的走道净宽不宜小于多少m？,1.0m。
供残疾人使用的门中，下列哪种不符合要求?（A）自动门（B）旋转门（C）推拉门（D）折叠门,（B）旋转门。
供残疾人使用的出入口内外及电梯厅等处常考虑一辆轮椅的最小回转面积，该面积的尺寸应是？,直径 1.5m。
公共厕所应设残疾人厕位，厕所内应留有1.5mX1.5m 轮椅回转面积是否合理。,满足规范。但不是非常贴合。
建筑设计中，首层外门的净宽度尺寸有什么要求。,"首层外门净宽度要同时满足 疏散门 、 首层外门 、无障碍门的要求。
通常情况下，厂房不应小于1.20m，其他建筑不应小于1.1m，人员密集场所不应小于1.40m。并且应同时参考相应规范的每百人疏散指标取其中最大值。"
屋顶安全出口和排烟口之间的距离要求是多少。,通常要求不应小于1.5m，如果其位于人防区域则应大于2m
什么是建筑高度,"结合三本规范，建筑高度应从建筑场地分别计算至屋顶。

《防火规范》(从消防视角)平屋面由计算至檐口；坡屋面计算至屋顶平均高度；
《民用规范》(从建筑及规划视角)平屋面计算至女儿墙顶，如无女儿墙计算至檐口；坡屋面应分别计算。

此外，一些特殊情况尚应参考GB50016 -A.0.1，GB50352- 4.5，GB55031- 3.2。"
建筑无障碍出入口，单段坡道最大高度是多少？,"答案：1.2m。
"
大部分建筑，楼梯踏步的最小宽度和最大高度是多少？,"答案：260mm和175mm
。"
夏热冬冷A区的门窗K值限值,≤3.5 W/(㎡ • K)。
北京属于哪个热工分区？,寒冷地区(2B)。
北京地区的门窗K值限值,北京为寒冷B区，故≤3.0 W/(㎡ • K)。
乙类厂房与单层民用建筑的防火间距是多少？,25m。
耐火等级为一级的甲类单层厂房，与一类高层的防火间距是多少？,50m。
耐火等级为二级的丙类多层厂房，与耐火等级为二级的丁类单层仓库的防火间距是多少？,10m。当满足特殊要求时可缩小为4m。
丙类多层厂房中，每个防火分区面积限值是多少？,4000㎡，如果自动灭火系统为8000㎡。
丙类多层厂房中，每个防火分最大能建多大？,8000㎡，须增设自动灭火系统。
